,symbol_id,simillar_symbol_id,score
166,078930.KS,086790.KS,0.030676
167,078930.KS,000810.KS,0.029692
168,078930.KS,000720.KS,0.029171
169,078930.KS,033780.KS,0.028326
170,012630.KS,006360.KS,0.031701
171,012630.KS,000720.KS,0.030832
172,012630.KS,000210.KS,0.030261
173,012630.KS,009540.KS,0.02858
174,012630.KS,004170.KS,0.027442
175,294870.KS,028260.KS,0.00922
176,294870.KS,000720.KS,0.008464
177,294870.KS,069960.KS,0.008063
178,294870.KS,001450.KS,0.00778
179,294870.KS,086280.KS,0.007765
180,097230.KS,042660.KS,0.015438
181,097230.KS,010140.KS,0.01509
182,097230.KS,009540.KS,0.014032
183,097230.KS,010620.KS,0.01308
184,097230.KS,034020.KS,0.011469
185,014790.KS,000210.KS,0.005742
186,014790.KS,017940.KS,0.00561
187,014790.KS,013580.KS,0.005251
188,014790.KS,006360.KS,0.005232
189,014790.KS,013700.KS,0.004891
190,204320.KS,012330.KS,0.020427
191,204320.KS,018880.KS,0.018311
192,204320.KS,011070.KS,0.012754
193,204320.KS,161390.KS,0.012742
194,204320.KS,139480.KS,0.012712
195,060980.KS,010130.KS,0.009374
196,060980.KS,012330.KS,0.00859
197,060980.KS,004020.KS,0.008402
198,060980.KS,078930.KS,0.008329
199,060980.KS,011170.KS,0.008264
200,003560.KS,004020.KS,0.003923
201,003560.KS,004710.KS,0.003848
202,003560.KS,003690.KS,0.003832
203,003560.KS,006490.KS,0.003687
204,003560.KS,029460.KS,0.003662
205,175330.KS,138930.KS,0.009947
206,175330.KS,086790.KS,0.009449
207,175330.KS,139130.KS,0.009087
208,175330.KS,105560.KS,0.008892
209,175330.KS,316140.KS,0.00875
210,234080.KS,016580.KS,0.003305
211,234080.KS,008490.KS,0.003284
212,234080.KS,185750.KS,0.003275
213,234080.KS,119860.KQ,0.003103
214,234080.KS,000640.KS,0.002839
215,001065.KS,019175.KS,0.006005
216,001065.KS,001067.KS,0.005712
217,001065.KS,007575.KS,0.005501
218,001065.KS,000105.KS,0.00529
219,001065.KS,005257.KS,0.004902
220,001067.KS,001065.KS,0.005712
221,001067.KS,001060.KS,0.005398
222,001067.KS,019175.KS,0.005026
223,001067.KS,000105.KS,0.004694
224,001067.KS,007575.KS,0.004509
225,001060.KS,000100.KS,0.012849
226,001060.KS,000640.KS,0.011219
227,001060.KS,003000.KS,0.011138
228,001060.KS,069620.KS,0.010933
229,001060.KS,006280.KS,0.009834
230,096760.KS,271980.KS,0.003524
231,096760.KS,069620.KS,0.003497
232,096760.KS,001060.KS,0.003265
233,096760.KS,000640.KS,0.003021
234,096760.KS,079160.KS,0.002966
235,105560.KS,055550.KS,0.111013
236,105560.KS,086790.KS,0.088223
237,105560.KS,005490.KS,0.067855
238,105560.KS,017670.KS,0.059606
239,105560.KS,015760.KS,0.056503
240,432320.KS,334890.KS,0.002766
241,432320.KS,396690.KS,0.002558
242,432320.KS,348950.KS,0.00234
243,432320.KS,088980.KS,0.002218
244,432320.KS,357430.KS,0.002181
245,009070.KS,008930.KS,0.004109
246,009070.KS,012450.KS,0.003971
247,009070.KS,009240.KS,0.003887
248,009070.KS,008770.KS,0.003723
249,009070.KS,023800.KS,0.003702
250,016380.KS,001230.KS,0.014495
251,016380.KS,004020.KS,0.013503
252,016380.KS,000210.KS,0.009963
253,016380.KS,011780.KS,0.009622
254,016380.KS,004000.KS,0.009546
255,001390.KS,000880.KS,0.005771
256,001390.KS,000720.KS,0.005279
257,001390.KS,001740.KS,0.004822
258,001390.KS,003070.KS,0.004794
259,001390.KS,001940.KS,0.004774
260,033180.KS,026890.KS,0.004777
261,033180.KS,034020.KS,0.004335
262,033180.KS,042670.KS,0.004017
263,033180.KS,001440.KS,0.003823
264,033180.KS,079160.KS,0.003683
265,001940.KS,001230.KS,0.009439
266,001940.KS,004020.KS,0.008626
267,001940.KS,104700.KS,0.007325
